"quantile","date","new_date"
"0%",13,2022-09-14
"5%",157,2023-02-05
"10%",168,2023-02-16
"mean",184,2023-03-04
"median",186,2023-03-06
"90%",201,2023-03-21
"95%",205,2023-03-25
"100%",237,2023-04-26
